month,by land,by sea
1,393,1585
2,425,1185
3,1327,2428
4,3975,3034
5,1954,2848
6,1311,2434
7,1665,2548
8,1116,3223
9,1618,4056
10,1848,4162
11,1025,2101
12,816,3138
